Task,Unit,Labor min,Material allowance $,Price (trip-excluded) $,Variable,Notes
Electrical > Bulbs > Specialty - Replace,each,10,0,17,,client supplies bulb
Electrical > Distribution > Install / Replace Weatherproof Gang Box,each,45,12,90,,
Electrical > Distribution > Install Ceiling Fan Rated Box,each,60,18,122,,
Electrical > Distribution > Replace / Install AFCI Breaker,each,45,45,131,,
Electrical > Distribution > Replace / Install Double Pole Breaker,each,40,25,98,,
Electrical > Distribution > Replace / Install GFCI Breaker,each,45,45,131,,
Electrical > Distribution > Replace / Install Gang Box,each,40,8,77,,
Electrical > Distribution > Replace / Install Junction Box,each,40,8,77,,
Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,each,35,15,77,,
Electrical > Distribution > Replace Fuse,each,15,5,31,,
Electrical > Distribution > Reset Breaker,each,10,0,17,,
Electrical > Distribution > Run New Conduit,linear ft,9,3,19,VARIABLE,price per linear ft; starts at
Electrical > Distribution > Run New Leg From Panel,linear ft,7,4,17,VARIABLE,"per lf + breaker/setup; starts at, quote on site"
Electrical > Distribution > Troubleshoot / Diagonose,each,45,0,75,,diagnostic
Electrical > Doorbells > Smart > Install Smart Doorbell - Ground Up,each,60,10,112,,client supplies unit
Electrical > Doorbells > Smart > Program Smart Doorbell,each,20,0,33,,
Electrical > Doorbells > Smart > Remove Smart Doorbell,each,15,0,25,,
Electrical > Doorbells > Smart > Replace Smart Doorbell,each,30,0,50,,
Electrical > Doorbells > Wired > Diagnose / Troubleshoot,each,40,0,67,,diagnostic
Electrical > Doorbells > Wired > Install New System - Ground Up,each,120,35,244,,transformer+button+chime
Electrical > Doorbells > Wired > Repair Chimes In Chime Box,each,40,10,79,,
Electrical > Doorbells > Wired > Repair Wiring - Chime Box,each,45,5,81,,
Electrical > Doorbells > Wired > Repair Wiring - Pushbutton,each,35,5,65,,
Electrical > Doorbells > Wired > Repair Wiring - Transformer,each,45,12,90,,
Electrical > Doorbells > Wired > Replace Pushbutton,each,25,12,57,,
Electrical > Doorbells > Wired > Run New Wiring,linear ft,4,1,8,VARIABLE,price per linear ft; starts at
Electrical > Doorbells > Wireless > Diagnose / Troubleshoot,each,25,0,42,,
Electrical > Doorbells > Wireless > Install New - Ground Up,each,30,0,50,,client supplies unit
Electrical > Doorbells > Wireless > Replace Chime Box Batteries,each,10,4,22,,
Electrical > Doorbells > Wireless > Replace Pushbutton Batteries,each,10,3,20,,
Electrical > Doorbells > Wireless > Replace Repeater Batteries,each,10,3,20,,
Electrical > Doorbells > Wireless > Replace Wireless Chime Box,each,15,0,25,,
Electrical > Doorbells > Wireless > Replace Wireless Pushbutton,each,15,0,25,,
Electrical > Doorbells > Wireless > Replace Wireless Repeater,each,15,0,25,,
Electrical > Doorbells > Wireless > Reprogram,each,20,0,33,,
Electrical > Doorbells > Wireless > Secure Chime Box,each,10,0,17,,
Electrical > Doorbells > Wireless > Secure Pushbutton,each,10,0,17,,
Electrical > Doorbells > Wireless > Secure Repeater,each,10,0,17,,
Electrical > Exhaust Fans > Install New - Ground Up,each,120,25,231,,new vent+wiring
Electrical > Exhaust Fans > Replace Bulb,each,10,0,17,,
Electrical > Exhaust Fans > Replace Cover,each,10,0,17,,
Electrical > Exhaust Fans > Replace Fan Wheel / Blade,each,30,15,69,,
Electrical > Lighting > Can / Recessed > Diagnose / Troubleshoot,each,35,0,58,,
Electrical > Lighting > Can / Recessed > Install New - Ground Up,each,60,25,131,,per light
Electrical > Lighting > Can / Recessed > Secure,each,15,0,25,,
Electrical > Lighting > Ceiling Fan > Balance,each,25,5,48,,
"Electrical > Lighting > Ceiling Fan > Diagnose / Troubleshoot,",each,35,0,58,,
Electrical > Lighting > Ceiling Fan > Install / Replace Downrod,each,30,15,69,,
Electrical > Lighting > Ceiling Fan > Install Light Kit,each,30,0,50,,
Electrical > Lighting > Ceiling Fan > Install Medallion,each,30,12,65,,
Electrical > Lighting > Ceiling Fan > Install Remodel Box,each,45,18,98,,
Electrical > Lighting > Ceiling Fan > Install Remote & Receiver - Ground Up,each,40,25,98,,
Electrical > Lighting > Ceiling Fan > Replace Globes / Shades,each,15,0,25,,
Electrical > Lighting > Ceiling Fan > Replace LED Light Assembly,each,25,20,67,,
Electrical > Lighting > Ceiling Fan > Replace Pull Chain Switch For Fan,each,25,8,52,,
Electrical > Lighting > Ceiling Fan > Replace Pull Switch For Light,each,25,8,52,,
Electrical > Lighting > Ceiling Fan > Replace Remote / Receiver,each,30,25,81,,
Electrical > Lighting > Ceiling Fan > Reporgram Remote / Receiver,each,15,0,25,,
Electrical > Lighting > Ceiling Fan > Secure Fan / Blades,each,20,0,33,,
Electrical > Lighting > Chandelier > Adjust Length,each,30,0,50,,
Electrical > Lighting > Chandelier > Diagnose / Troubleshoot,each,35,0,58,,
Electrical > Lighting > Chandelier > Install New - Ground Up,each,90,20,175,,heavy; client supplies fixture
Electrical > Lighting > Chandelier > Secure,each,25,0,42,,
Electrical > Lighting > Dome > Diagnose / Troubleshoot,each,25,0,42,,
Electrical > Lighting > Dome > Install New - Ground Up,each,40,12,82,,
Electrical > Lighting > Dome > Replace Globe,each,10,0,17,,
Electrical > Lighting > Dome > Secure,each,15,0,25,,
Electrical > Lighting > Exterior Flood > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Exterior Flood > Install New - Ground Up,each,45,18,98,,
Electrical > Lighting > Exterior Flood > Secure,each,15,0,25,,
Electrical > Lighting > Exterior Pathway > Diagnose / Troubleshoot,each,35,0,58,,
Electrical > Lighting > Exterior Pathway > Install New - Ground Up,each,60,30,138,,per fixture; runs add
Electrical > Lighting > Exterior Pathway > Replace Fixtures,each,30,0,50,,
Electrical > Lighting > Exterior Pathway > Secure,each,15,0,25,,
Electrical > Lighting > Exterior Porch > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Exterior Porch > Install New - Ground Up,each,45,15,94,,
Electrical > Lighting > Exterior Porch > Secure,each,15,0,25,,
Electrical > Lighting > Fluorescent > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Fluorescent > Install New - Ground Up,each,50,25,115,,
Electrical > Lighting > Fluorescent > Replace Ballast,each,35,25,90,,
Electrical > Lighting > Fluorescent > Secure,each,15,0,25,,
Electrical > Lighting > Fluorescent > Upgrade To LED,each,35,30,96,,
Electrical > Lighting > Pendant > Adjust Length,each,25,0,42,,
Electrical > Lighting > Pendant > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Pendant > Install New - Ground Up,each,45,12,90,,
Electrical > Lighting > Pendant > Replace Globe,each,12,0,20,,
Electrical > Lighting > Pendant > Secure,each,15,0,25,,
Electrical > Lighting > Sconce > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Sconce > Install New - Ground Up,each,45,12,90,,
Electrical > Lighting > Sconce > Secure,each,15,0,25,,
Electrical > Lighting > Track > Add Receptacles,each,25,15,60,,
Electrical > Lighting > Track > Adjust Tracks,each,20,0,33,,
Electrical > Lighting > Track > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Track > Install New - Ground Up,each,60,25,131,,
Electrical > Lighting > Track > Secure,each,15,0,25,,
Electrical > Lighting > Under Cabinet > Diagnose / Troubleshoot,each,30,0,50,,
Electrical > Lighting > Under Cabinet > Install New - Ground Up,each,60,25,131,,
Electrical > Lighting > Under Cabinet > Secure,each,15,0,25,,
Electrical > Lighting > Vanity > Diagnose / Troubleshoot,each,25,0,42,,
Electrical > Lighting > Vanity > Install New - Ground Up,each,45,12,90,,
Electrical > Lighting > Vanity > Secure,each,15,0,25,,
Electrical > Outlets > Repair Loose Outlet (Tighten),each,15,0,25,,
Electrical > Outlets > Repair Outlet Wiring,each,35,5,65,,
Electrical > Outlets > Replace Outlet (With Switched Receptacle),each,35,10,71,,
Electrical > Outlets > Replace Outlet - GFCI,each,30,20,75,,
Electrical > Outlets > Replace Outlet - Standard,each,25,3,45,,
Electrical > Outlets > Replace Outlet Cover,each,10,2,19,,
Electrical > Outlets > Replace WR (Weather Resistant) Outlet,each,30,18,72,,
Electrical > Outlets > Test Outlets,each,20,0,33,,
Electrical > Smoke / CO Detectors > Battery Operated > Diagnose / Troubleshoot,each,25,0,42,,
Electrical > Smoke / CO Detectors > Battery Operated > Inspect,each,15,0,25,,
Electrical > Smoke / CO Detectors > Battery Operated > Install New - Ground Up,each,25,25,73,,
Electrical > Smoke / CO Detectors > Battery Operated > Replace Battery,each,10,6,24,,
Electrical > Smoke / CO Detectors > Battery Operated > Secure,each,12,0,20,,
Electrical > Smoke / CO Detectors > Battery Operated > Test,each,10,0,17,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Diagnose / Troubleshoot,each,25,0,42,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Inspect,each,15,0,25,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Install New - Battery Operated - Ground Up,each,25,30,79,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Battery,each,10,6,24,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Detector - Battery Operated,each,20,30,71,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Replace Detector - Hard Wired,each,35,35,102,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Secure,each,12,0,20,,
Electrical > Smoke / CO Detectors > Carbon Monoxide > Test,each,10,0,17,,
Electrical > Smoke / CO Detectors > Hard Wired > Diagnose / Troubleshoot,each,35,0,58,,
Electrical > Smoke / CO Detectors > Hard Wired > Inspect,each,15,0,25,,
Electrical > Smoke / CO Detectors > Hard Wired > Replace Battery,each,12,6,28,,
Electrical > Smoke / CO Detectors > Hard Wired > Secure,each,15,0,25,,
Electrical > Smoke / CO Detectors > Hard Wired > Test,each,12,0,20,,
Electrical > Switches > Diagnose Switch Wiring,each,35,0,58,,
Electrical > Switches > Install Dimmer Switch,each,30,18,72,,
Electrical > Switches > Install Humidity Sensored Switch,each,35,28,93,,
Electrical > Switches > Install Movement Sensored Switch,each,35,25,90,,
Electrical > Switches > Install Photocell Switch (Exterior Dusk / Dawn),each,40,22,94,,
Electrical > Switches > Install Smart Switch (Wifi / Bluetooth),each,35,0,58,,client supplies switch
Electrical > Switches > Install Timer Switch,each,35,25,90,,
Electrical > Switches > Replace 3 Way Switch,each,35,10,71,,
Electrical > Switches > Replace 4 Way Switch,each,40,14,84,,
Electrical > Switches > Replace Double Pole Switch,each,35,12,73,,
Electrical > Switches > Replace Single Pole Switch,each,25,6,49,,
