category,name,display_name,taxonomy_path,unit,price_expected,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,basis,sources,confidence,flags
Electrical,Electrical > Bulbs > Specialty - Replace,Bulbs - Specialty - Replace,Labor > Electrical > Bulbs > Specialty - Replace,each,60,70,10,30,no,2026,Specialty/hard-to-reach bulb swap; maintenance not electrical,anchor: Bulbs Fixture Replace $38 + reach premium,high,
Electrical,Electrical > Distribution > Install / Replace Weatherproof Gang Box,Distribution - Install / Replace Weatherproof Gang Box,Labor > Electrical > Distribution > Install / Replace Weatherproof Gang Box,each,125,190,20,60,no,2026,Box install; new wiring would make it licensed. Priced at book anchor,anchor: Outdoor Weatherproof Boxes Install $120,med,VERIFY
Electrical,Electrical > Distribution > Install Ceiling Fan Rated Box,Distribution - Install Ceiling Fan Rated Box,Labor > Electrical > Distribution > Install Ceiling Fan Rated Box,each,125,190,20,60,no,2026,Fan-rated box install; new wiring would make it licensed. Book anchor,anchor: Ceiling Fan Rated Remodel Gang Boxes $120,med,VERIFY
Electrical,Electrical > Distribution > Replace / Install AFCI Breaker,Distribution - Replace / Install AFCI Breaker,Labor > Electrical > Distribution > Replace / Install AFCI Breaker,each,160,240,50,60,no,2026,Panel-interior AFCI breaker; licensed electrician + Brevard permit,research: empireelec AFCI $111-219 + AFCI part $35-65,med,REFER
Electrical,Electrical > Distribution > Replace / Install Double Pole Breaker,Distribution - Replace / Install Double Pole Breaker,Labor > Electrical > Distribution > Replace / Install Double Pole Breaker,each,145,220,35,60,no,2026,240V panel-interior breaker; licensed electrician + permit,research: installed $200-400; anchor Circuit Breakers Replace $125,med,REFER
Electrical,Electrical > Distribution > Replace / Install GFCI Breaker,Distribution - Replace / Install GFCI Breaker,Labor > Electrical > Distribution > Replace / Install GFCI Breaker,each,160,240,50,60,no,2026,Panel-interior GFCI breaker; licensed electrician + permit,research: Homewyse GFCI breaker $307-373 all-in,med,REFER
Electrical,Electrical > Distribution > Replace / Install Gang Box,Distribution - Replace / Install Gang Box,Labor > Electrical > Distribution > Replace / Install Gang Box,each,95,140,15,45,no,2026,Gang box install; gray if new wiring. Book anchor,anchor: Gang Boxes Remodel Type $90,med,VERIFY
Electrical,Electrical > Distribution > Replace / Install Junction Box,Distribution - Replace / Install Junction Box,Labor > Electrical > Distribution > Replace / Install Junction Box,each,90,135,10,45,no,2026,"Junction box; splice-cover on existing = gray, new = licensed",anchor: General Lighting Gang Boxes $90,med,VERIFY
Electrical,Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,Distribution - Replace / Install Single Pole Circuit Breaker,Labor > Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,each,125,190,25,60,no,2026,"Snapped to book anchor (Circuit Breakers, Replace $125) for consistency",anchor: Circuit Breakers Replace $125,high,REFER
Electrical,Electrical > Distribution > Replace Fuse,Distribution - Replace Fuse,Labor > Electrical > Distribution > Replace Fuse,each,60,90,10,30,no,2026,Fuse-box interior; opening panel is licensed work,anchor: Fuses Replace $60,med,REFER
Electrical,Electrical > Distribution > Reset Breaker,Distribution - Reset Breaker,Labor > Electrical > Distribution > Reset Breaker,each,35,40,0,10,no,2026,"Trivial maintenance, not electrical contracting; bill as min visit",estimate: quick task,high,
Electrical,Electrical > Distribution > Run New Conduit,Distribution - Run New Conduit,Labor > Electrical > Distribution > Run New Conduit,each,275,410,60,120,no,2026,New raceway = licensed electrical + permit. UNIT should be LF/lump not each,research: conduit $4-8/ft installed (nominal ~20ft run),low,REFER
Electrical,Electrical > Distribution > Run New Leg From Panel,Distribution - Run New Leg From Panel,Labor > Electrical > Distribution > Run New Leg From Panel,each,410,615,90,180,no,2026,New branch circuit from panel; licensed electrician + Brevard permit. Hard refer,research: usecalcpro new circuit $250-900 avg ~$650,med,REFER
Electrical,Electrical > Distribution > Troubleshoot / Diagonose,Distribution - Troubleshoot / Diagnose,Labor > Electrical > Distribution > Troubleshoot / Diagonose,each,100,150,0,60,no,2026,Diagnostic; opening/probing panel is gray for a handyman,research: HomeGuide diag $75-150/hr,med,VERIFY
Electrical,Electrical > Doorbells > Smart > Install Smart Doorbell - Ground Up,Doorbells - Smart - Install Smart Doorbell - Ground Up,Labor > Electrical > Doorbells > Smart > Install Smart Doorbell - Ground Up,each,90,115,10,45,no,2026,"Smart doorbell on EXISTING wiring; low-voltage, customer supplies unit",research: Angi labor $150-300 all-in; anchor Doorbell Wireless $65,med,
Electrical,Electrical > Doorbells > Smart > Program Smart Doorbell,Doorbells - Smart - Program Smart Doorbell,Labor > Electrical > Doorbells > Smart > Program Smart Doorbell,each,40,45,0,25,no,2026,"Config only, no wiring",estimate: quick task,high,
Electrical,Electrical > Doorbells > Smart > Remove Smart Doorbell,Doorbells - Smart - Remove Smart Doorbell,Labor > Electrical > Doorbells > Smart > Remove Smart Doorbell,each,35,40,0,20,no,2026,Removal only,estimate: quick task,high,
Electrical,Electrical > Doorbells > Smart > Replace Smart Doorbell,Doorbells - Smart - Replace Smart Doorbell,Labor > Electrical > Doorbells > Smart > Replace Smart Doorbell,each,75,100,5,40,no,2026,Like-for-like smart doorbell swap on existing wiring,research: Angi $150-300 all-in,med,
Electrical,Electrical > Doorbells > Wired > Diagnose / Troubleshoot,Doorbells - Wired - Diagnose / Troubleshoot,Labor > Electrical > Doorbells > Wired > Diagnose / Troubleshoot,each,75,110,0,45,no,2026,LV doorbell diagnostic,anchor: Doorbell Wired Diagnose $80,high,
Electrical,Electrical > Doorbells > Wired > Install New System - Ground Up,Doorbells - Wired - Install New System - Ground Up,Labor > Electrical > Doorbells > Wired > Install New System - Ground Up,each,260,390,50,120,no,2026,Ground-up wired system w/ new LV wiring; FL limited-energy license gray,research: Angi wired $175-375,med,VERIFY
Electrical,Electrical > Doorbells > Wired > Repair Chimes In Chime Box,Doorbells - Wired - Repair Chimes In Chime Box,Labor > Electrical > Doorbells > Wired > Repair Chimes In Chime Box,each,80,105,10,40,no,2026,Repair chime unit inside existing chime box,anchor: Doorbell Wired Replace Chime Box $90,med,
Electrical,Electrical > Doorbells > Wired > Repair Wiring - Chime Box,Doorbells - Wired - Repair Wiring - Chime Box,Labor > Electrical > Doorbells > Wired > Repair Wiring - Chime Box,each,90,115,10,45,no,2026,Repair existing LV doorbell wiring,anchor: Doorbell Wired Replace Transformer $120,med,
Electrical,Electrical > Doorbells > Wired > Repair Wiring - Pushbutton,Doorbells - Wired - Repair Wiring - Pushbutton,Labor > Electrical > Doorbells > Wired > Repair Wiring - Pushbutton,each,90,115,10,45,no,2026,Repair existing LV doorbell wiring,anchor: Doorbell Wired Replace Transformer $120,med,
Electrical,Electrical > Doorbells > Wired > Repair Wiring - Transformer,Doorbells - Wired - Repair Wiring - Transformer,Labor > Electrical > Doorbells > Wired > Repair Wiring - Transformer,each,90,115,10,45,no,2026,Repair existing LV doorbell wiring,anchor: Doorbell Wired Replace Transformer $120,med,
Electrical,Electrical > Doorbells > Wired > Replace Pushbutton,Doorbells - Wired - Replace Pushbutton,Labor > Electrical > Doorbells > Wired > Replace Pushbutton,each,60,70,10,30,no,2026,LV pushbutton swap,anchor: Doorbell Wired Replace Push Button $60,high,
Electrical,Electrical > Doorbells > Wired > Run New Wiring,Doorbells - Wired - Run New Wiring,Labor > Electrical > Doorbells > Wired > Run New Wiring,each,190,285,30,90,no,2026,New LV wire run; FL limited-energy license gray,research: CountBricks/Angi $150-350,med,VERIFY
Electrical,Electrical > Doorbells > Wireless > Diagnose / Troubleshoot,Doorbells - Wireless - Diagnose / Troubleshoot,Labor > Electrical > Doorbells > Wireless > Diagnose / Troubleshoot,each,50,75,0,30,no,2026,Battery doorbell diagnostic,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Install New - Ground Up,Doorbells - Wireless - Install New - Ground Up,Labor > Electrical > Doorbells > Wireless > Install New - Ground Up,each,70,80,15,30,no,2026,"Battery/wireless doorbell, no mains",anchor: Doorbell Wireless Replace/Install $65,high,
Electrical,Electrical > Doorbells > Wireless > Replace Chime Box Batteries,Doorbells - Wireless - Replace Chime Box Batteries,Labor > Electrical > Doorbells > Wireless > Replace Chime Box Batteries,each,40,45,10,15,no,2026,Battery swap,estimate: quick task; research $45-75,high,
Electrical,Electrical > Doorbells > Wireless > Replace Pushbutton Batteries,Doorbells - Wireless - Replace Pushbutton Batteries,Labor > Electrical > Doorbells > Wireless > Replace Pushbutton Batteries,each,40,45,10,15,no,2026,Battery swap,estimate: quick task; research $45-75,high,
Electrical,Electrical > Doorbells > Wireless > Replace Repeater Batteries,Doorbells - Wireless - Replace Repeater Batteries,Labor > Electrical > Doorbells > Wireless > Replace Repeater Batteries,each,40,45,10,15,no,2026,Battery swap,estimate: quick task; research $45-75,high,
Electrical,Electrical > Doorbells > Wireless > Replace Wireless Chime Box,Doorbells - Wireless - Replace Wireless Chime Box,Labor > Electrical > Doorbells > Wireless > Replace Wireless Chime Box,each,65,75,25,20,no,2026,Wireless chime unit swap,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Replace Wireless Pushbutton,Doorbells - Wireless - Replace Wireless Pushbutton,Labor > Electrical > Doorbells > Wireless > Replace Wireless Pushbutton,each,45,50,15,15,no,2026,Wireless button swap,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Replace Wireless Repeater,Doorbells - Wireless - Replace Wireless Repeater,Labor > Electrical > Doorbells > Wireless > Replace Wireless Repeater,each,70,80,30,20,no,2026,Wireless repeater swap,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Reprogram,Doorbells - Wireless - Reprogram,Labor > Electrical > Doorbells > Wireless > Reprogram,each,35,40,0,15,no,2026,Re-pair devices,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Secure Chime Box,Doorbells - Wireless - Secure Chime Box,Labor > Electrical > Doorbells > Wireless > Secure Chime Box,each,35,40,0,15,no,2026,Re-mount device,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Secure Pushbutton,Doorbells - Wireless - Secure Pushbutton,Labor > Electrical > Doorbells > Wireless > Secure Pushbutton,each,35,40,0,15,no,2026,Re-mount device,estimate: quick task,high,
Electrical,Electrical > Doorbells > Wireless > Secure Repeater,Doorbells - Wireless - Secure Repeater,Labor > Electrical > Doorbells > Wireless > Secure Repeater,each,35,40,0,15,no,2026,Re-mount device,estimate: quick task,high,
Electrical,Electrical > Exhaust Fans > Install New - Ground Up,Exhaust Fans - Install New - Ground Up,Labor > Electrical > Exhaust Fans > Install New - Ground Up,each,550,825,120,240,yes,2026,Brand-new bath fan: new duct + new branch wiring; mechanical + electrical permit,research: Homewyse bath fan $343-889; Angi FL $400-700,med,REFER
Electrical,Electrical > Exhaust Fans > Replace Bulb,Exhaust Fans - Replace Bulb,Labor > Electrical > Exhaust Fans > Replace Bulb,each,40,45,10,15,no,2026,Bulb swap,estimate: quick task,high,
Electrical,Electrical > Exhaust Fans > Replace Cover,Exhaust Fans - Replace Cover,Labor > Electrical > Exhaust Fans > Replace Cover,each,60,70,20,20,no,2026,"Grille/cover swap, existing unit",research: Broan grille $10-25,high,
Electrical,Electrical > Exhaust Fans > Replace Fan Wheel / Blade,Exhaust Fans - Replace Fan Wheel / Blade,Labor > Electrical > Exhaust Fans > Replace Fan Wheel / Blade,each,105,135,25,45,no,2026,Motor/wheel/blade part swap on existing unit,anchor: Exhaust Fan Replace Motor $125; research part swap,med,
Electrical,Electrical > Lighting > Can / Recessed > Diagnose / Troubleshoot,Lighting - Can / Recessed - Diagnose / Troubleshoot,Labor > Electrical > Lighting > Can / Recessed > Diagnose / Troubleshoot,each,75,110,0,45,no,2026,Lighting diagnostic,research: repair diag $75-150,med,
Electrical,Electrical > Lighting > Can / Recessed > Install New - Ground Up,Lighting - Can / Recessed - Install New - Ground Up,Labor > Electrical > Lighting > Can / Recessed > Install New - Ground Up,each,200,300,40,90,no,2026,New recessed can w/ new wiring/branch; licensed electrical,research: Homewyse recessed $380-535 all-in,med,REFER
Electrical,Electrical > Lighting > Can / Recessed > Secure,Lighting - Can / Recessed - Secure,Labor > Electrical > Lighting > Can / Recessed > Secure,each,35,40,0,20,no,2026,Re-secure loose fixture,estimate: quick task,high,
Electrical,Electrical > Lighting > Ceiling Fan > Balance,Lighting - Ceiling Fan - Balance,Labor > Electrical > Lighting > Ceiling Fan > Balance,each,60,70,10,30,no,2026,Balance wobbling fan,anchor: Ceiling Fan Balance $60,high,
Electrical,"Electrical > Lighting > Ceiling Fan > Diagnose / Troubleshoot,",Lighting - Ceiling Fan - Diagnose / Troubleshoot,"Labor > Electrical > Lighting > Ceiling Fan > Diagnose / Troubleshoot,",each,75,110,0,45,no,2026,Lighting diagnostic,research: repair diag $75-150,med,
Electrical,Electrical > Lighting > Ceiling Fan > Install / Replace Downrod,Lighting - Ceiling Fan - Install / Replace Downrod,Labor > Electrical > Lighting > Ceiling Fan > Install / Replace Downrod,each,110,145,30,45,no,2026,Fan downrod swap,estimate + research $85-175,med,
Electrical,Electrical > Lighting > Ceiling Fan > Install Light Kit,Lighting - Ceiling Fan - Install Light Kit,Labor > Electrical > Lighting > Ceiling Fan > Install Light Kit,each,150,195,60,45,no,2026,Light kit onto existing fan,research: Angi $100-250,med,
Electrical,Electrical > Lighting > Ceiling Fan > Install Medallion,Lighting - Ceiling Fan - Install Medallion,Labor > Electrical > Lighting > Ceiling Fan > Install Medallion,each,115,150,40,40,no,2026,Cosmetic ceiling medallion,estimate: trim task,med,
Electrical,Electrical > Lighting > Ceiling Fan > Install Remodel Box,Lighting - Ceiling Fan - Install Remodel Box,Labor > Electrical > Lighting > Ceiling Fan > Install Remodel Box,each,125,190,20,60,no,2026,Fan-rated remodel box install; gray if new wiring,anchor: Ceiling Fan Rated Remodel Gang Boxes $120,med,VERIFY
Electrical,Electrical > Lighting > Ceiling Fan > Install Remote & Receiver - Ground Up,Lighting - Ceiling Fan - Install Remote & Receiver - Ground Up,Labor > Electrical > Lighting > Ceiling Fan > Install Remote & Receiver - Ground Up,each,100,130,20,45,no,2026,Add fan remote/receiver kit,anchor: Ceiling Fan Replace/Install Remote $95,med,
Electrical,Electrical > Lighting > Ceiling Fan > Replace Globes / Shades,Lighting - Ceiling Fan - Replace Globes / Shades,Labor > Electrical > Lighting > Ceiling Fan > Replace Globes / Shades,each,60,70,15,25,no,2026,Swap globe/shade,anchor: Ceiling Fan Replace Globes $52,high,
Electrical,Electrical > Lighting > Ceiling Fan > Replace LED Light Assembly,Lighting - Ceiling Fan - Replace LED Light Assembly,Labor > Electrical > Lighting > Ceiling Fan > Replace LED Light Assembly,each,130,170,50,40,no,2026,Swap integrated LED module,estimate + research $85-175,med,
Electrical,Electrical > Lighting > Ceiling Fan > Replace Pull Chain Switch For Fan,Lighting - Ceiling Fan - Replace Pull Chain Switch For Fan,Labor > Electrical > Lighting > Ceiling Fan > Replace Pull Chain Switch For Fan,each,60,70,10,30,no,2026,Pull-chain switch swap,anchor: Ceiling Fan Replace Pull Chain $60,high,
Electrical,Electrical > Lighting > Ceiling Fan > Replace Pull Switch For Light,Lighting - Ceiling Fan - Replace Pull Switch For Light,Labor > Electrical > Lighting > Ceiling Fan > Replace Pull Switch For Light,each,60,70,10,30,no,2026,Pull switch for fan light swap,anchor: Ceiling Fan Replace Pull Chain $60,high,
Electrical,Electrical > Lighting > Ceiling Fan > Replace Remote / Receiver,Lighting - Ceiling Fan - Replace Remote / Receiver,Labor > Electrical > Lighting > Ceiling Fan > Replace Remote / Receiver,each,100,130,25,40,no,2026,Swap fan remote/receiver,anchor: Replace/Install Remote $95,med,
Electrical,Electrical > Lighting > Ceiling Fan > Reporgram Remote / Receiver,Lighting - Ceiling Fan - Reprogram Remote / Receiver,Labor > Electrical > Lighting > Ceiling Fan > Reporgram Remote / Receiver,each,35,40,0,15,no,2026,Re-pair remote,estimate: quick task,high,
Electrical,Electrical > Lighting > Ceiling Fan > Secure Fan / Blades,Lighting - Ceiling Fan - Secure Fan / Blades,Labor > Electrical > Lighting > Ceiling Fan > Secure Fan / Blades,each,35,40,0,20,no,2026,Re-secure loose fixture,estimate: quick task,high,
Electrical,Electrical > Lighting > Chandelier > Adjust Length,Lighting - Chandelier - Adjust Length,Labor > Electrical > Lighting > Chandelier > Adjust Length,each,75,100,0,45,no,2026,Adjust chain/rod length,estimate: quick task; research $85-140,med,
Electrical,Electrical > Lighting > Chandelier > Diagnose / Troubleshoot,Lighting - Chandelier - Diagnose / Troubleshoot,Labor > Electrical > Lighting > Chandelier > Diagnose / Troubleshoot,each,75,110,0,45,no,2026,Lighting diagnostic,research: repair diag $75-150,med,
Electrical,Electrical > Lighting > Chandelier > Install New - Ground Up,Lighting - Chandelier - Install New - Ground Up,Labor > Electrical > Lighting > Chandelier > Install New - Ground Up,each,390,585,150,120,no,2026,Ground-up chandelier w/ new box/wiring; licensed,research: Homewyse chandelier ~$550 all-in; anchor swap $225,med,REFER
Electrical,Electrical > Lighting > Chandelier > Secure,Lighting - Chandelier - Secure,Labor > Electrical > Lighting > Chandelier > Secure,each,35,40,0,20,no,2026,Re-secure loose fixture,estimate: quick task,high,
Electrical,Electrical > Lighting > Dome > Diagnose / Troubleshoot,Lighting - Dome - Diagnose / Troubleshoot,Labor > Electrical > Lighting > Dome > Diagnose / Troubleshoot,each,75,110,0,45,no,2026,Lighting diagnostic,research: repair diag $75-150,med,
Electrical,Electrical > Lighting > Dome > Install New - Ground Up,Lighting - Dome - Install New - Ground Up,Labor > Electrical > Lighting > Dome > Install New - Ground Up,each,160,240,50,60,no,2026,Ground-up flush-mount w/ new wiring; licensed,research: Homewyse ceiling light $230-583,med,REFER
Electrical,Electrical > Lighting > Dome > Replace Globe,Lighting - Dome - Replace Globe,Labor > Electrical > Lighting > Dome > Replace Globe,each,60,70,15,25,no,2026,Swap globe/shade,anchor: Ceiling Fan Replace Globes $52,high,
Electrical,Electrical > Lighting > Dome > Secure,Lighting - Dome - Secure,Labor > Electrical > Lighting > Dome > Secure,each,35,40,0,20,no,2026,Re-secure loose fixture,estimate: quick task,high,
Electrical,Electrical > Lighting > Exterior Flood > Diagnose / Troubleshoot,Lighting - Exterior Flood - Diagnose / Troubleshoot,Labor > Electrical > Lighting > Exterior Flood > Diagnose / Troubleshoot,each,75,110,0,45,no,2026,Lighting diagnostic,research: repair diag $75-150,med,
