category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Grab Bars / Safety Bars,Bathroom - Grab Bars / Safety Bars,Labor > Fixtures / Mounts / Accessories > Bathroom > Grab Bars / Safety Bars,each,110,75,125,30,45,no,2026,,"Locate stud/blocking, screw into stud or heavy toggle anchors, level and secure. Tile mounting adds time; avg case 45 min. ADA bar ~$30.",Homewyse install grab bars $158-$398/bar (incl matl); HomeGuide $100-$350/bar; Angi 2026. Task-only labor ~$100-150 solo pro locating blocking or heavy anchors.,high,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Mirror,Bathroom - Mirror,Labor > Fixtures / Mounts / Accessories > Bathroom > Mirror,each,85,60,110,15,40,no,2026,,"Hang framed or frameless mirror: mark, level, set cleat or J-clips, anchor to studs/drywall. Clips/adhesive ~$15. Large mirrors trend high.",HomeGuide/Thumbtack mirror hang $100-$200; frameless/heavy mirror uses cleats+anchors. Task-only labor ~$90-130.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Shower Curtain Rod (Permanent),Bathroom - Shower Curtain Rod (Permanent),Labor > Fixtures / Mounts / Accessories > Bathroom > Shower Curtain Rod (Permanent),each,75,50,100,20,30,no,2026,,"Fixed-mount rod: mark height/level, drill flanges into tile or stud, anchor both ends. Anchors/hardware ~$20. Excludes tension rods.",HomeGuide/Thumbtack small-fixture install $75-$125; permanent screwed rod anchors into tile/stud. Task-only ~$75-100.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > TP Holder,Bathroom - TP Holder,Labor > Fixtures / Mounts / Accessories > Bathroom > TP Holder,each,50,35,65,12,20,no,2026,,"Mount TP holder: mark, level, 2-4 screws with anchors into drywall or tile. Anchors ~$12. Fast repeat-unit fixture.",Thumbtack/HomeGuide bath accessory install $50-$100 each; small anchored fixture. Task-only ~$55-75.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Towel Bar,Bathroom - Towel Bar,Labor > Fixtures / Mounts / Accessories > Bathroom > Towel Bar,each,55,40,70,12,25,no,2026,,"Mount towel bar: level across two brackets, drill/anchor into drywall or tile, set posts. Hardware ~$12. Repeat-unit fixture.",Thumbtack/HomeGuide bath accessory install $50-$100; two brackets need leveling. Task-only ~$55-80.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Towel Hook,Bathroom - Towel Hook,Labor > Fixtures / Mounts / Accessories > Bathroom > Towel Hook,each,35,25,45,8,15,no,2026,,"Mount towel hook: mark, 1-2 screws with anchor into drywall or tile. Anchors ~$8. Fastest repeat-unit fixture.",Thumbtack/HomeGuide small-fixture install $40-$90; single-point hook quickest bath accessory. Task-only ~$45-65.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Bathroom > Towel Ring,Bathroom - Towel Ring,Labor > Fixtures / Mounts / Accessories > Bathroom > Towel Ring,each,45,30,60,10,20,no,2026,,"Mount towel ring: mark, level, 2 screws with anchors into drywall or tile. Anchors ~$10. Repeat-unit fixture.","Thumbtack/HomeGuide bath accessory install $50-$100; single bracket, similar to TP holder. Task-only ~$50-70.",med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Hang Miscellaneous,General - Install / Hang Miscellaneous,Labor > Fixtures / Mounts / Accessories > General > Install / Hang Miscellaneous,each,65,45,100,12,30,no,2026,,"Catch-all light hang/mount of a customer item: locate stud/anchor, level, secure. Hardware ~$12. Confirm item/weight on site.",Handyman general hang/mount $75-$150; scope varies widely. Task-only ~$75-100 default.,low,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Hang Picture Frames,General - Install / Hang Picture Frames,Labor > Fixtures / Mounts / Accessories > General > Install / Hang Picture Frames,each,45,30,60,8,20,no,2026,,"Hang framed art: locate stud or set anchor for weight, level, secure hanger. Hardware ~$8. Per-each; galleries scale by count.",HomeGuide/Thumbtack picture/art hanging $50-$100 first piece; galleries per additional. Task-only ~$50-75.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Replace AC Register,General - Install / Replace AC Register,Labor > Fixtures / Mounts / Accessories > General > Install / Replace AC Register,each,45,30,60,15,15,no,2026,,"Replace supply register/grille: remove old, verify size, screw new grille to boot. Register ~$15. Cosmetic swap, handyman-legal (not duct work).","Handyman small-vent swap $45-$90; register is a screw-in grille, no ductwork. Task-only ~$45-65.",med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install / Replace Closet Rod,General - Install / Replace Closet Rod,Labor > Fixtures / Mounts / Accessories > General > Install / Replace Closet Rod,each,75,50,100,20,30,no,2026,,"Install closet rod: measure, level, anchor brackets to studs, set rod (center support if long). Rod+brackets ~$20. Repeat-unit friendly.",HomeGuide/Thumbtack closet rod install $60-$125; end brackets plus mid support on long spans. Task-only ~$60-90.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install Floating Shelves,General - Install Floating Shelves,Labor > Fixtures / Mounts / Accessories > General > Install Floating Shelves,each,100,70,130,25,40,no,2026,,"Install floating shelf: locate studs, level hidden bracket/cleat, anchor, seat shelf. Bracket hardware ~$25 (shelf often customer-supplied). Added shelves cheaper.",CountBricks floating shelf install $95-$260/shelf; finish carpenter labor $85-$120/shelf; Homewyse shelving $21.67-$33.48/lf. Task-only labor ~$90-130 first shelf.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install Replace Register Return,General - Install Replace Register Return,Labor > Fixtures / Mounts / Accessories > General > Install Replace Register Return,each,65,45,85,25,20,no,2026,,"Replace return-air grille: remove old, confirm size, mount new (often larger, filter slot). Grille ~$25. Cosmetic cover swap, handyman-legal (no duct work).",Handyman grille swap $50-$100; return-air grille larger than supply register but still a screw-in cover. Task-only ~$50-75.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install Standard Shelving,General - Install Standard Shelving,Labor > Fixtures / Mounts / Accessories > General > Install Standard Shelving,each,110,75,145,30,45,no,2026,,"Install bracket or track-and-standard shelving: locate studs, level standards, anchor, set shelves. Hardware ~$30. Scales with linear feet.",Homewyse install shelving $21.67-$33.48/lf; handyman shelf job $100-$400 typical. Task-only labor ~$100-150 for a bracket/track run.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > General > Install TV Mount,General - Install TV Mount,Labor > Fixtures / Mounts / Accessories > General > Install TV Mount,each,115,80,130,25,50,no,2026,,"Mount TV: locate studs, level bracket, lag into studs, hang set, dress cables externally. Mount hardware ~$25 (mount often customer-supplied). In-wall concealment adds scope.",homeyou Melbourne FL TV mounting avg $256-$343 all-in; labor-only $150-$250; Melbourne installers from $150. Task-only Melbourne ~$150-200 (no cord concealment).,high,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Kitchen > Paper Towel holder,Kitchen - Paper Towel holder,Labor > Fixtures / Mounts / Accessories > Kitchen > Paper Towel holder,each,35,25,45,8,15,no,2026,,"Mount kitchen paper towel holder: mark, level, 2 screws with anchors into drywall/backsplash or cabinet. Anchors ~$8. Fast repeat-unit fixture.",Handyman small-fixture install $40-$90; wall-mount paper towel holder is a 2-screw mount. Task-only ~$45-65.,med,
Fixtures / Mounts / Accessories,Fixtures / Mounts / Accessories > Kitchen > Pot Rack,Kitchen - Pot Rack,Labor > Fixtures / Mounts / Accessories > Kitchen > Pot Rack,each,100,70,150,20,45,no,2026,,"Install pot rack: locate joists/studs, lay out, lag heavy mounts to framing for hanging load, level. Heavy hardware ~$20. Ceiling-mount racks trend high.",HomeGuide/Thumbtack pot rack / heavy hanging install $100-$200; wall or ceiling mount must hit joists for load. Task-only ~$100-150.,low,
